paper_id,problem,role,page,chart_type,evidence_file,observation,claim
cumcm-2024-a163,A,evidence-anchor,1,visual-observation,page-01.jpg,五问逐段摘要和关键词,排版/图表结构可迁移观察
cumcm-2024-a163,A,evidence-anchor,4,visual-observation,page-04.jpg,橙色板凳与浅蓝螺线的变量标注示意图,排版/图表结构可迁移观察
cumcm-2024-a163,A,evidence-anchor,13,visual-observation,page-13.jpg,全局/局部并排图加位置速度表；同时存在图注断行,排版/图表结构可迁移观察
cumcm-2024-a163,A,evidence-anchor,26,visual-observation,page-26.jpg,轨迹主图后给关键时刻位置表,排版/图表结构可迁移观察
cumcm-2024-a163,A,evidence-anchor,28,visual-observation,page-28.jpg,最大速度诊断图和模型评价,排版/图表结构可迁移观察
cumcm-2024-b159,B,evidence-anchor,1,visual-observation,page-01.jpg,摘要含模型名、逐问结论和利润数值,排版/图表结构可迁移观察
cumcm-2024-b159,B,evidence-anchor,3,visual-observation,page-03.jpg,零配件到半成品再到成品的极简流程图,排版/图表结构可迁移观察
cumcm-2024-b159,B,evidence-anchor,13,visual-observation,page-13.jpg,16种方案乘6种情景，黄色标记列最优,排版/图表结构可迁移观察
cumcm-2024-b159,B,evidence-anchor,19,visual-observation,page-19.jpg,贝叶斯更新公式与更新后的情景决策表同页,排版/图表结构可迁移观察
cumcm-2024-b159,B,evidence-anchor,22,visual-observation,page-22.jpg,alpha/beta单因素灵敏度曲线及稳定性结论,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,1,visual-observation,page-01.jpg,摘要含多组收益与鲁棒性数字,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,3,visual-observation,page-03.jpg,四象限总体思路框架,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,7,visual-observation,page-07.jpg,按粮食、蔬菜、食用菌编码的横向条形图,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,21,visual-observation,page-21.jpg,按季节分组的种植方案热力图,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,23,visual-observation,page-23.jpg,两种情景的年度利润与累计利润收敛对比,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,29,visual-observation,page-29.jpg,将CVaR嵌入DEGA的算法流程图,排版/图表结构可迁移观察
cumcm-2024-c038,C,evidence-anchor,32,visual-observation,page-32.jpg,风险约束与非风险模型的累计利润收敛比较,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,1,visual-observation,page-01.jpg,逐问摘要包含聚类比例和50.35 km/h等核心数字,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,7,visual-observation,page-07.jpg,四周日内流量小多图,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,12,visual-observation,page-12.jpg,车牌轨迹匹配决策流程,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,16,visual-observation,page-16.jpg,干线协调控制时距图,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,18,visual-observation,page-18.jpg,遗传算法收敛截图和配时表,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,19,visual-observation,page-19.jpg,优化前后车速对比与真实路网图,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,25,visual-observation,page-25.jpg,终端证据截图与拥堵前后高密度柱图,排版/图表结构可迁移观察
cumcm-2024-e010,E,evidence-anchor,26,visual-observation,page-26.jpg,管控后巡游车小时变化和模型评价,排版/图表结构可迁移观察
cumcm-2025-a196,A,evidence-anchor,1,visual-observation,page-01.jpg,五问摘要含1.391643s、6.93586s、11.645260s、21.0770s等结果,排版/图表结构可迁移观察
cumcm-2025-a196,A,evidence-anchor,3,visual-observation,page-03.jpg,三个问题层级与输出递进关系图,排版/图表结构可迁移观察
cumcm-2025-a196,A,evidence-anchor,13,visual-observation,page-13.jpg,四幅遮蔽几何示意与框选命题,排版/图表结构可迁移观察
cumcm-2025-a196,A,evidence-anchor,15,visual-observation,page-15.jpg,网格搜索流程和二分查找数轴,排版/图表结构可迁移观察
cumcm-2025-a196,A,evidence-anchor,24,visual-observation,page-24.jpg,差分进化结果三线表和业务解释,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,1,visual-observation,page-01.jpg,摘要报告ICC 74.3%、AIC提升17.2%、94.7%和99.7%等量化结果,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,4,visual-observation,page-04.jpg,四问总体思路框架,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,10,visual-observation,page-10.jpg,相关热力图、散点矩阵和特征重要性,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,13,visual-observation,page-13.jpg,随机截距Q-Q和分布诊断,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,14,visual-observation,page-14.jpg,四面板同方差诊断与LOWESS平滑,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,17,visual-observation,page-17.jpg,三阶段分层决策流程,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,24,visual-observation,page-24.jpg,带风险区间和阈值的准确率响应曲线,排版/图表结构可迁移观察
cumcm-2025-c132,C,evidence-anchor,29,visual-observation,page-29.jpg,MLP/LSTM/DeepHit混合网络结构,排版/图表结构可迁移观察
